seed,model,scenario_id,scenario_name,stress_type,total_reward_yuan,mean_reward_yuan,cvar_5_yuan,final_soc,battery_throughput_mwh,high_price_discharge_rate,low_price_charge_rate,event_count
2026,SAC-Numeric,S1,常规夏季运行场景,normal,-203502.9320133698,-302.8317440675146,-664.1711382205303,0.1,3.0399999999999996,0.0,0.0,26
2026,SAC-Numeric,S2,高温负荷压力场景,heat_load,-220257.5687853942,-327.76423926397945,-740.116932222691,0.1,3.0399999999999996,0.0,0.0,43
2026,SAC-Numeric,S3,价格尖峰场景,price_spike,-222024.8817358463,-330.3941692497713,-810.7098040455985,0.1,3.04,0.0,0.0,48
2026,SAC-Numeric,S4,新能源消纳压力场景,renewable_curtailment,-198308.5411557851,-295.10199576753735,-670.1910911256819,0.1,3.04,0.0,0.0,34
2026,LE-DRL-SAC,S1,常规夏季运行场景,normal,-202345.69017187352,-301.1096579938594,-628.8938966387238,0.1649313811484602,18.66944692184458,0.4107142857142857,0.19642857142857142,26
2026,LE-DRL-SAC,S2,高温负荷压力场景,heat_load,-219291.53333901783,-326.32668651639557,-702.9524330017524,0.16990643285384163,17.282102941929786,0.35119047619047616,0.1488095238095238,43
2026,LE-DRL-SAC,S3,价格尖峰场景,price_spike,-219494.01565411204,-326.6279994852858,-783.3609149602939,0.12899059715848607,21.47502276507658,0.47023809523809523,0.20833333333333334,48
2026,LE-DRL-SAC,S4,新能源消纳压力场景,renewable_curtailment,-196538.7727366023,-292.4684118104201,-612.6515115384424,0.17616021424231865,24.37507831026638,0.47619047619047616,0.30357142857142855,34
2026,LE-DRL w/o Text,S1,常规夏季运行场景,normal,-203502.92291371216,-302.8317305263574,-664.1711382205303,0.1,3.04,0.0,0.0,26
2026,LE-DRL w/o Text,S2,高温负荷压力场景,heat_load,-220257.40624971472,-327.7639973954088,-740.116932222691,0.1,3.0399999999999996,0.0,0.0,43
2026,LE-DRL w/o Text,S3,价格尖峰场景,price_spike,-222024.90172099674,-330.3941989895785,-810.7098040455985,0.1,3.04,0.0,0.0,48
2026,LE-DRL w/o Text,S4,新能源消纳压力场景,renewable_curtailment,-198308.3781009919,-295.101753126476,-670.1910911256819,0.1,3.039999999999999,0.0,0.0,34
2031,SAC-Numeric,S1,常规夏季运行场景,normal,-203503.04103441784,-302.83190630121703,-664.1711382205303,0.1,3.04,0.0,0.0,26
2031,SAC-Numeric,S2,高温负荷压力场景,heat_load,-220257.90090683178,-327.7647334923092,-740.116932222691,0.1,3.0399999999999996,0.0,0.0,43
2031,SAC-Numeric,S3,价格尖峰场景,price_spike,-222025.17102337297,-330.39459973716214,-810.7098040455985,0.1,3.04,0.0,0.0,48
2031,SAC-Numeric,S4,新能源消纳压力场景,renewable_curtailment,-198308.7318393148,-295.1022795227899,-670.1910911256819,0.1,3.039999999999999,0.0,0.0,34
2031,LE-DRL-SAC,S1,常规夏季运行场景,normal,-202401.18910780287,-301.1922456961352,-630.4823050763437,0.15830522430832697,17.693205418744654,0.4166666666666667,0.18452380952380953,26
2031,LE-DRL-SAC,S2,高温负荷压力场景,heat_load,-219299.31032059403,-326.3382594056459,-704.4666752108574,0.1570434843880074,16.750899601390923,0.34523809523809523,0.13690476190476192,43
2031,LE-DRL-SAC,S3,价格尖峰场景,price_spike,-219514.27272952435,-326.6581439427446,-780.6813713820694,0.1163990653248038,21.055198924571286,0.49404761904761907,0.21428571428571427,48
2031,LE-DRL-SAC,S4,新能源消纳压力场景,renewable_curtailment,-196584.12610690252,-292.5359019447954,-618.8078039197112,0.1606312949401731,23.43931121426209,0.44047619047619047,0.30357142857142855,34
2031,LE-DRL w/o Text,S1,常规夏季运行场景,normal,-203502.68062235013,-302.8313699737353,-664.1711382205303,0.1,3.04,0.0,0.0,26
2031,LE-DRL w/o Text,S2,高温负荷压力场景,heat_load,-220256.39600593923,-327.7624940564572,-740.116932222691,0.1,3.04,0.0,0.0,43
2031,LE-DRL w/o Text,S3,价格尖峰场景,price_spike,-222024.3095674194,-330.39331780865984,-810.7098040455985,0.1,3.0399999999999996,0.0,0.0,48
2031,LE-DRL w/o Text,S4,新能源消纳压力场景,renewable_curtailment,-198307.71778845796,-295.10077051853864,-670.1910911256819,0.1,3.04,0.0,0.0,34
2042,SAC-Numeric,S1,常规夏季运行场景,normal,-203502.48130521405,-302.83107337085426,-664.1711382205303,0.1,3.04,0.0,0.0,26
2042,SAC-Numeric,S2,高温负荷压力场景,heat_load,-220255.8333444265,-327.7616567625394,-740.116932222691,0.1,3.039999999999999,0.0,0.0,43
2042,SAC-Numeric,S3,价格尖峰场景,price_spike,-222023.82265699215,-330.3925932395717,-810.7098040455985,0.1,3.04,0.0,0.0,48
2042,SAC-Numeric,S4,新能源消纳压力场景,renewable_curtailment,-198307.47817325217,-295.10041394829193,-670.1910911256819,0.1,3.0399999999999996,0.0,0.0,34
2042,LE-DRL-SAC,S1,常规夏季运行场景,normal,-202319.70602378587,-301.0709911068242,-623.8148672607434,0.1736487826637923,19.64089104901462,0.44047619047619047,0.20238095238095238,26
2042,LE-DRL-SAC,S2,高温负荷压力场景,heat_load,-219277.2638500356,-326.3054521577911,-696.2261324275037,0.17723430518120703,18.218697592584547,0.39285714285714285,0.1488095238095238,43
2042,LE-DRL-SAC,S3,价格尖峰场景,price_spike,-219359.87045882846,-326.4283786589709,-781.3663353063042,0.13572843113700903,22.454252677050423,0.5,0.2261904761904762,48
2042,LE-DRL-SAC,S4,新能源消纳压力场景,renewable_curtailment,-196480.0478917259,-292.38102364840165,-606.4455327205703,0.17943299974466576,25.48822496282846,0.48214285714285715,0.30952380952380953,34
2042,LE-DRL w/o Text,S1,常规夏季运行场景,normal,-203502.72034794305,-302.831429089201,-664.1711382205303,0.1,3.04,0.0,0.0,26
2042,LE-DRL w/o Text,S2,高温负荷压力场景,heat_load,-220256.7131240531,-327.76296595841234,-740.116932222691,0.1,3.04,0.0,0.0,43
2042,LE-DRL w/o Text,S3,价格尖峰场景,price_spike,-222024.44830987178,-330.3935242706425,-810.7098040455985,0.1,3.0399999999999996,0.0,0.0,48
2042,LE-DRL w/o Text,S4,新能源消纳压力场景,renewable_curtailment,-198307.9629289127,-295.101135310882,-670.1910911256819,0.1,3.04,0.0,0.0,34
